Predictions		Price
91.599998		80.000000
87.500000		45.000000
98.099998		90.000000
117.199997		80.000000
72.400002		45.000000
229.000000		130.000000
176.000000		199.000000
311.700012		175.000000
137.199997		110.000000
197.600006		100.000000
77.000000		59.000000
96.199997		75.000000
94.900002		75.000000
162.000000		65.000000
77.400002		65.000000
100.300003		100.000000
105.300003		190.000000
235.000000		190.000000
83.699997		53.000000
78.099998		80.000000
267.700012		69.000000
107.599998		100.000000
80.099998		114.000000
86.099998		46.000000
146.500000		144.000000
85.300003		160.000000
92.300003		146.000000
71.000000		160.000000
222.100006		600.000000
69.300003		199.000000
113.199997		60.000000
142.100006		150.000000
82.400002		167.000000
141.500000		100.000000
152.800003		525.000000
159.100006		260.000000
81.300003		43.000000
67.099998		125.000000
92.599998		40.000000
88.400002		117.000000
80.000000		60.000000
71.800003		70.000000
92.300003		96.000000
72.400002		80.000000
189.600006		185.000000
86.199997		146.000000
84.300003		169.000000
268.799988		178.000000
150.399994		130.000000
91.900002		150.000000
96.000000		58.000000
120.900002		190.000000
85.099998		38.000000
93.800003		70.000000
127.300003		100.000000
118.199997		50.000000
149.100006		100.000000
70.300003		54.000000
92.900002		87.000000
77.099998		70.000000
95.199997		102.000000
103.000000		119.000000
88.400002		47.000000
205.199997		139.000000
82.500000		69.000000
103.199997		84.000000
121.500000		300.000000
75.000000		39.000000
109.000000		200.000000
67.599998		57.000000
71.500000		85.000000
67.800003		70.000000
91.599998		217.000000
133.600006		70.000000
313.899994		95.000000
117.099998		95.000000
72.599998		69.000000
226.899994		260.000000
111.800003		170.000000
84.800003		30.000000
71.300003		100.000000
153.199997		89.000000
147.899994		290.000000
85.599998		50.000000
140.500000		269.000000
67.500000		160.000000
100.300003		259.000000
67.699997		500.000000
75.900002		60.000000
70.699997		100.000000
109.699997		60.000000
93.300003		50.000000
105.599998		120.000000
98.599998		55.000000
75.599998		48.000000
161.399994		70.000000
186.199997		65.000000
63.299999		30.000000
140.199997		175.000000
96.599998		150.000000
155.399994		125.000000
83.300003		40.000000
353.899994		690.000000
102.000000		66.000000
90.400002		60.000000
102.900002		75.000000
82.400002		104.000000
88.000000		95.000000
97.000000		68.000000
121.000000		120.000000
174.300003		115.000000
93.500000		110.000000
86.099998		50.000000
156.899994		48.000000
68.099998		79.000000
121.699997		50.000000
170.300003		105.000000
115.699997		60.000000
113.699997		57.000000
107.199997		58.000000
178.800003		70.000000
117.099998		90.000000
69.800003		31.000000
104.099998		69.000000
98.199997		99.000000
81.199997		50.000000
80.099998		30.000000
79.500000		148.000000
71.199997		110.000000
70.199997		60.000000
188.199997		374.000000
186.899994		50.000000
109.300003		140.000000
75.300003		100.000000
125.900002		108.000000
121.000000		75.000000
87.099998		160.000000
323.899994		177.000000
74.800003		65.000000
97.500000		98.000000
84.300003		56.000000
78.800003		74.000000
72.900002		90.000000
80.900002		60.000000
73.199997		75.000000
91.000000		120.000000
114.300003		90.000000
105.599998		55.000000
101.400002		180.000000
108.400002		95.000000
99.699997		178.000000
133.199997		65.000000
76.000000		55.000000
67.099998		40.000000
88.199997		90.000000
74.800003		35.000000
100.500000		90.000000
79.199997		90.000000
65.500000		58.000000
65.699997		45.000000
76.500000		30.000000
107.099998		130.000000
111.500000		130.000000
87.300003		195.000000
71.500000		50.000000
68.599998		80.000000
67.400002		95.000000
115.000000		105.000000
110.900002		35.000000
135.699997		55.000000
85.900002		73.000000
223.000000		150.000000
68.500000		130.000000
94.000000		80.000000
105.800003		100.000000
117.500000		90.000000
146.899994		80.000000
100.300003		43.000000
70.099998		90.000000
104.699997		146.000000
134.800003		55.000000
126.800003		160.000000
110.099998		69.000000
288.000000		154.000000
82.300003		44.000000
112.500000		60.000000
112.000000		90.000000
199.600006		160.000000
66.900002		125.000000
66.900002		100.000000
82.699997		90.000000
120.500000		80.000000
189.800003		150.000000
59.200001		90.000000
126.500000		250.000000
208.399994		185.000000
114.500000		220.000000
93.699997		80.000000
125.500000		90.000000
76.500000		70.000000
84.900002		99.000000
156.600006		560.000000
84.599998		115.000000
78.000000		110.000000
87.500000		83.000000
175.100006		125.000000
63.599998		80.000000
82.900002		80.000000
176.100006		55.000000
90.300003		125.000000
300.899994		80.000000
91.599998		150.000000
107.900002		79.000000
69.099998		110.000000
103.900002		80.000000
73.000000		100.000000
291.100006		243.000000
83.300003		90.000000
87.699997		64.000000
85.300003		100.000000
95.599998		45.000000
100.599998		129.000000
91.099998		50.000000
173.800003		120.000000
59.799999		65.000000
142.699997		434.000000
77.900002		120.000000
79.000000		69.000000
112.500000		80.000000
69.000000		200.000000
99.800003		295.000000
121.900002		85.000000
59.000000		80.000000
240.100006		230.000000
131.800003		150.000000
88.800003		110.000000
77.400002		150.000000
105.599998		100.000000
77.099998		85.000000
93.400002		150.000000
117.099998		70.000000
285.299988		135.000000
82.500000		75.000000
96.400002		122.000000
229.100006		799.000000
121.400002		150.000000
95.000000		80.000000
89.900002		100.000000
83.300003		46.000000
113.699997		276.000000
78.800003		100.000000
75.699997		110.000000
72.800003		80.000000
84.900002		140.000000
190.800003		175.000000
98.500000		120.000000
67.400002		94.000000
163.100006		190.000000
88.099998		60.000000
93.699997		100.000000
66.599998		80.000000
90.300003		43.000000
113.400002		345.000000
73.800003		120.000000
93.900002		85.000000
84.500000		135.000000
86.199997		98.000000
495.500000		149.000000
79.800003		60.000000
112.900002		50.000000
82.199997		80.000000
87.099998		35.000000
169.100006		150.000000
88.699997		58.000000
120.099998		75.000000
81.699997		32.000000
143.100006		167.000000
98.099998		120.000000
77.699997		100.000000
119.000000		95.000000
166.000000		126.000000
80.300003		94.000000
105.500000		130.000000
131.899994		40.000000
85.199997		60.000000
74.800003		42.000000
78.400002		115.000000
171.300003		700.000000
103.800003		85.000000
63.599998		35.000000
101.800003		134.000000
87.099998		50.000000
97.000000		70.000000
104.300003		60.000000
98.300003		72.000000
83.599998		37.000000
154.000000		110.000000
104.900002		900.000000
70.900002		260.000000
83.199997		110.000000
83.800003		45.000000
71.900002		130.000000
